,product,price,quantity,date,region
644,pink morsel,$3.00,556,2018-03-01,north
645,pink morsel,$3.00,594,2018-03-01,south
646,pink morsel,$3.00,509,2018-03-01,east
647,pink morsel,$3.00,556,2018-03-01,west
672,pink morsel,$3.00,545,2018-03-02,north
673,pink morsel,$3.00,523,2018-03-02,south
674,pink morsel,$3.00,582,2018-03-02,east
675,pink morsel,$3.00,591,2018-03-02,west
700,pink morsel,$3.00,513,2018-03-03,north
701,pink morsel,$3.00,500,2018-03-03,south
702,pink morsel,$3.00,523,2018-03-03,east
703,pink morsel,$3.00,519,2018-03-03,west
728,pink morsel,$3.00,591,2018-03-04,north
729,pink morsel,$3.00,548,2018-03-04,south
730,pink morsel,$3.00,538,2018-03-04,east
731,pink morsel,$3.00,558,2018-03-04,west
756,pink morsel,$3.00,511,2018-03-05,north
757,pink morsel,$3.00,551,2018-03-05,south
758,pink morsel,$3.00,519,2018-03-05,east
759,pink morsel,$3.00,582,2018-03-05,west
784,pink morsel,$3.00,573,2018-03-06,north
785,pink morsel,$3.00,573,2018-03-06,south
786,pink morsel,$3.00,553,2018-03-06,east
787,pink morsel,$3.00,600,2018-03-06,west
812,pink morsel,$3.00,527,2018-03-07,north
813,pink morsel,$3.00,534,2018-03-07,south
814,pink morsel,$3.00,536,2018-03-07,east
815,pink morsel,$3.00,550,2018-03-07,west
840,pink morsel,$3.00,537,2018-03-08,north
841,pink morsel,$3.00,510,2018-03-08,south
842,pink morsel,$3.00,566,2018-03-08,east
843,pink morsel,$3.00,556,2018-03-08,west
868,pink morsel,$3.00,582,2018-03-09,north
869,pink morsel,$3.00,508,2018-03-09,south
870,pink morsel,$3.00,502,2018-03-09,east
871,pink morsel,$3.00,568,2018-03-09,west
896,pink morsel,$3.00,596,2018-03-10,north
897,pink morsel,$3.00,573,2018-03-10,south
898,pink morsel,$3.00,582,2018-03-10,east
899,pink morsel,$3.00,528,2018-03-10,west
924,pink morsel,$3.00,564,2018-03-11,north
925,pink morsel,$3.00,545,2018-03-11,south
926,pink morsel,$3.00,536,2018-03-11,east
927,pink morsel,$3.00,530,2018-03-11,west
952,pink morsel,$3.00,533,2018-03-12,north
953,pink morsel,$3.00,506,2018-03-12,south
954,pink morsel,$3.00,534,2018-03-12,east
955,pink morsel,$3.00,553,2018-03-12,west
980,pink morsel,$3.00,548,2018-03-13,north
981,pink morsel,$3.00,537,2018-03-13,south
982,pink morsel,$3.00,518,2018-03-13,east
983,pink morsel,$3.00,505,2018-03-13,west
1008,pink morsel,$3.00,505,2018-03-14,north
1009,pink morsel,$3.00,544,2018-03-14,south
1010,pink morsel,$3.00,504,2018-03-14,east
1011,pink morsel,$3.00,592,2018-03-14,west
1036,pink morsel,$3.00,559,2018-03-15,north
1037,pink morsel,$3.00,501,2018-03-15,south
1038,pink morsel,$3.00,535,2018-03-15,east
1039,pink morsel,$3.00,549,2018-03-15,west
1064,pink morsel,$3.00,502,2018-03-16,north
1065,pink morsel,$3.00,579,2018-03-16,south
1066,pink morsel,$3.00,530,2018-03-16,east
1067,pink morsel,$3.00,589,2018-03-16,west
1092,pink morsel,$3.00,531,2018-03-17,north
1093,pink morsel,$3.00,538,2018-03-17,south
1094,pink morsel,$3.00,570,2018-03-17,east
1095,pink morsel,$3.00,554,2018-03-17,west
1120,pink morsel,$3.00,550,2018-03-18,north
1121,pink morsel,$3.00,585,2018-03-18,south
1122,pink morsel,$3.00,566,2018-03-18,east
1123,pink morsel,$3.00,553,2018-03-18,west
1148,pink morsel,$3.00,561,2018-03-19,north
1149,pink morsel,$3.00,503,2018-03-19,south
1150,pink morsel,$3.00,500,2018-03-19,east
1151,pink morsel,$3.00,515,2018-03-19,west
1176,pink morsel,$3.00,549,2018-03-20,north
1177,pink morsel,$3.00,538,2018-03-20,south
1178,pink morsel,$3.00,543,2018-03-20,east
1179,pink morsel,$3.00,559,2018-03-20,west
1204,pink morsel,$3.00,581,2018-03-21,north
1205,pink morsel,$3.00,523,2018-03-21,south
1206,pink morsel,$3.00,531,2018-03-21,east
1207,pink morsel,$3.00,526,2018-03-21,west
1232,pink morsel,$3.00,526,2018-03-22,north
1233,pink morsel,$3.00,527,2018-03-22,south
1234,pink morsel,$3.00,551,2018-03-22,east
1235,pink morsel,$3.00,526,2018-03-22,west
1260,pink morsel,$3.00,587,2018-03-23,north
1261,pink morsel,$3.00,537,2018-03-23,south
1262,pink morsel,$3.00,583,2018-03-23,east
1263,pink morsel,$3.00,588,2018-03-23,west
1288,pink morsel,$3.00,572,2018-03-24,north
1289,pink morsel,$3.00,570,2018-03-24,south
1290,pink morsel,$3.00,600,2018-03-24,east
1291,pink morsel,$3.00,576,2018-03-24,west
1316,pink morsel,$3.00,581,2018-03-25,north
1317,pink morsel,$3.00,588,2018-03-25,south
1318,pink morsel,$3.00,580,2018-03-25,east
1319,pink morsel,$3.00,569,2018-03-25,west
1344,pink morsel,$3.00,503,2018-03-26,north
1345,pink morsel,$3.00,547,2018-03-26,south
1346,pink morsel,$3.00,511,2018-03-26,east
1347,pink morsel,$3.00,584,2018-03-26,west
1372,pink morsel,$3.00,589,2018-03-27,north
1373,pink morsel,$3.00,530,2018-03-27,south
1374,pink morsel,$3.00,511,2018-03-27,east
1375,pink morsel,$3.00,568,2018-03-27,west
1400,pink morsel,$3.00,557,2018-03-28,north
1401,pink morsel,$3.00,509,2018-03-28,south
1402,pink morsel,$3.00,508,2018-03-28,east
1403,pink morsel,$3.00,543,2018-03-28,west
1428,pink morsel,$3.00,574,2018-03-29,north
1429,pink morsel,$3.00,519,2018-03-29,south
1430,pink morsel,$3.00,562,2018-03-29,east
1431,pink morsel,$3.00,593,2018-03-29,west
1456,pink morsel,$3.00,578,2018-03-30,north
1457,pink morsel,$3.00,592,2018-03-30,south
1458,pink morsel,$3.00,518,2018-03-30,east
1459,pink morsel,$3.00,575,2018-03-30,west
1484,pink morsel,$3.00,539,2018-03-31,north
1485,pink morsel,$3.00,545,2018-03-31,south
1486,pink morsel,$3.00,535,2018-03-31,east
1487,pink morsel,$3.00,595,2018-03-31,west
1512,pink morsel,$3.00,587,2018-04-01,north
1513,pink morsel,$3.00,510,2018-04-01,south
1514,pink morsel,$3.00,570,2018-04-01,east
1515,pink morsel,$3.00,502,2018-04-01,west
1540,pink morsel,$3.00,503,2018-04-02,north
1541,pink morsel,$3.00,599,2018-04-02,south
1542,pink morsel,$3.00,554,2018-04-02,east
1543,pink morsel,$3.00,510,2018-04-02,west
1568,pink morsel,$3.00,589,2018-04-03,north
1569,pink morsel,$3.00,589,2018-04-03,south
1570,pink morsel,$3.00,538,2018-04-03,east
1571,pink morsel,$3.00,511,2018-04-03,west
1596,pink morsel,$3.00,589,2018-04-04,north
1597,pink morsel,$3.00,587,2018-04-04,south
1598,pink morsel,$3.00,522,2018-04-04,east
1599,pink morsel,$3.00,541,2018-04-04,west
1624,pink morsel,$3.00,502,2018-04-05,north
1625,pink morsel,$3.00,504,2018-04-05,south
1626,pink morsel,$3.00,564,2018-04-05,east
1627,pink morsel,$3.00,583,2018-04-05,west
1652,pink morsel,$3.00,567,2018-04-06,north
1653,pink morsel,$3.00,584,2018-04-06,south
1654,pink morsel,$3.00,544,2018-04-06,east
1655,pink morsel,$3.00,505,2018-04-06,west
1680,pink morsel,$3.00,575,2018-04-07,north
1681,pink morsel,$3.00,537,2018-04-07,south
1682,pink morsel,$3.00,596,2018-04-07,east
1683,pink morsel,$3.00,539,2018-04-07,west
1708,pink morsel,$3.00,552,2018-04-08,north
1709,pink morsel,$3.00,558,2018-04-08,south
1710,pink morsel,$3.00,519,2018-04-08,east
1711,pink morsel,$3.00,567,2018-04-08,west
1736,pink morsel,$3.00,562,2018-04-09,north
1737,pink morsel,$3.00,594,2018-04-09,south
1738,pink morsel,$3.00,547,2018-04-09,east
1739,pink morsel,$3.00,519,2018-04-09,west
1764,pink morsel,$3.00,562,2018-04-10,north
1765,pink morsel,$3.00,509,2018-04-10,south
1766,pink morsel,$3.00,566,2018-04-10,east
1767,pink morsel,$3.00,576,2018-04-10,west
1792,pink morsel,$3.00,557,2018-04-11,north
1793,pink morsel,$3.00,509,2018-04-11,south
1794,pink morsel,$3.00,527,2018-04-11,east
1795,pink morsel,$3.00,588,2018-04-11,west
1820,pink morsel,$3.00,551,2018-04-12,north
1821,pink morsel,$3.00,542,2018-04-12,south
1822,pink morsel,$3.00,594,2018-04-12,east
1823,pink morsel,$3.00,583,2018-04-12,west
1848,pink morsel,$3.00,513,2018-04-13,north
1849,pink morsel,$3.00,584,2018-04-13,south
1850,pink morsel,$3.00,558,2018-04-13,east
1851,pink morsel,$3.00,583,2018-04-13,west
1876,pink morsel,$3.00,523,2018-04-14,north
1877,pink morsel,$3.00,598,2018-04-14,south
1878,pink morsel,$3.00,558,2018-04-14,east
1879,pink morsel,$3.00,546,2018-04-14,west
1904,pink morsel,$3.00,505,2018-04-15,north
1905,pink morsel,$3.00,509,2018-04-15,south
1906,pink morsel,$3.00,534,2018-04-15,east
1907,pink morsel,$3.00,551,2018-04-15,west
1932,pink morsel,$3.00,534,2018-04-16,north
1933,pink morsel,$3.00,569,2018-04-16,south
1934,pink morsel,$3.00,516,2018-04-16,east
1935,pink morsel,$3.00,509,2018-04-16,west
1960,pink morsel,$3.00,533,2018-04-17,north
1961,pink morsel,$3.00,576,2018-04-17,south
1962,pink morsel,$3.00,568,2018-04-17,east
1963,pink morsel,$3.00,513,2018-04-17,west
1988,pink morsel,$3.00,515,2018-04-18,north
1989,pink morsel,$3.00,599,2018-04-18,south
1990,pink morsel,$3.00,505,2018-04-18,east
1991,pink morsel,$3.00,573,2018-04-18,west
2016,pink morsel,$3.00,571,2018-04-19,north
2017,pink morsel,$3.00,558,2018-04-19,south
2018,pink morsel,$3.00,589,2018-04-19,east
2019,pink morsel,$3.00,589,2018-04-19,west
2044,pink morsel,$3.00,556,2018-04-20,north
2045,pink morsel,$3.00,540,2018-04-20,south
2046,pink morsel,$3.00,559,2018-04-20,east
2047,pink morsel,$3.00,503,2018-04-20,west
2072,pink morsel,$3.00,561,2018-04-21,north
2073,pink morsel,$3.00,581,2018-04-21,south
2074,pink morsel,$3.00,548,2018-04-21,east
2075,pink morsel,$3.00,526,2018-04-21,west
2100,pink morsel,$3.00,524,2018-04-22,north
2101,pink morsel,$3.00,515,2018-04-22,south
2102,pink morsel,$3.00,519,2018-04-22,east
2103,pink morsel,$3.00,542,2018-04-22,west
2128,pink morsel,$3.00,570,2018-04-23,north
2129,pink morsel,$3.00,553,2018-04-23,south
2130,pink morsel,$3.00,555,2018-04-23,east
2131,pink morsel,$3.00,507,2018-04-23,west
2156,pink morsel,$3.00,501,2018-04-24,north
2157,pink morsel,$3.00,550,2018-04-24,south
2158,pink morsel,$3.00,563,2018-04-24,east
2159,pink morsel,$3.00,581,2018-04-24,west
2184,pink morsel,$3.00,541,2018-04-25,north
2185,pink morsel,$3.00,501,2018-04-25,south
2186,pink morsel,$3.00,586,2018-04-25,east
2187,pink morsel,$3.00,519,2018-04-25,west
2212,pink morsel,$3.00,571,2018-04-26,north
2213,pink morsel,$3.00,578,2018-04-26,south
2214,pink morsel,$3.00,580,2018-04-26,east
2215,pink morsel,$3.00,521,2018-04-26,west
2240,pink morsel,$3.00,572,2018-04-27,north
2241,pink morsel,$3.00,597,2018-04-27,south
2242,pink morsel,$3.00,558,2018-04-27,east
2243,pink morsel,$3.00,572,2018-04-27,west
2268,pink morsel,$3.00,544,2018-04-28,north
2269,pink morsel,$3.00,547,2018-04-28,south
2270,pink morsel,$3.00,528,2018-04-28,east
2271,pink morsel,$3.00,530,2018-04-28,west
2296,pink morsel,$3.00,571,2018-04-29,north
2297,pink morsel,$3.00,531,2018-04-29,south
2298,pink morsel,$3.00,580,2018-04-29,east
2299,pink morsel,$3.00,546,2018-04-29,west
2324,pink morsel,$3.00,551,2018-04-30,north
2325,pink morsel,$3.00,530,2018-04-30,south
2326,pink morsel,$3.00,531,2018-04-30,east
2327,pink morsel,$3.00,534,2018-04-30,west
2352,pink morsel,$3.00,595,2018-05-01,north
2353,pink morsel,$3.00,588,2018-05-01,south
2354,pink morsel,$3.00,502,2018-05-01,east
2355,pink morsel,$3.00,512,2018-05-01,west
2380,pink morsel,$3.00,541,2018-05-02,north
2381,pink morsel,$3.00,558,2018-05-02,south
2382,pink morsel,$3.00,597,2018-05-02,east
2383,pink morsel,$3.00,551,2018-05-02,west
2408,pink morsel,$3.00,595,2018-05-03,north
2409,pink morsel,$3.00,523,2018-05-03,south
2410,pink morsel,$3.00,500,2018-05-03,east
2411,pink morsel,$3.00,590,2018-05-03,west
2436,pink morsel,$3.00,551,2018-05-04,north
2437,pink morsel,$3.00,530,2018-05-04,south
2438,pink morsel,$3.00,557,2018-05-04,east
2439,pink morsel,$3.00,543,2018-05-04,west
2464,pink morsel,$3.00,526,2018-05-05,north
2465,pink morsel,$3.00,555,2018-05-05,south
2466,pink morsel,$3.00,525,2018-05-05,east
2467,pink morsel,$3.00,529,2018-05-05,west
2492,pink morsel,$3.00,558,2018-05-06,north
2493,pink morsel,$3.00,595,2018-05-06,south
2494,pink morsel,$3.00,573,2018-05-06,east
2495,pink morsel,$3.00,539,2018-05-06,west
2520,pink morsel,$3.00,598,2018-05-07,north
2521,pink morsel,$3.00,521,2018-05-07,south
2522,pink morsel,$3.00,576,2018-05-07,east
2523,pink morsel,$3.00,580,2018-05-07,west
2548,pink morsel,$3.00,539,2018-05-08,north
2549,pink morsel,$3.00,550,2018-05-08,south
2550,pink morsel,$3.00,576,2018-05-08,east
2551,pink morsel,$3.00,545,2018-05-08,west
2576,pink morsel,$3.00,528,2018-05-09,north
2577,pink morsel,$3.00,549,2018-05-09,south
2578,pink morsel,$3.00,517,2018-05-09,east
2579,pink morsel,$3.00,504,2018-05-09,west
2604,pink morsel,$3.00,579,2018-05-10,north
2605,pink morsel,$3.00,517,2018-05-10,south
2606,pink morsel,$3.00,505,2018-05-10,east
2607,pink morsel,$3.00,572,2018-05-10,west
2632,pink morsel,$3.00,582,2018-05-11,north
2633,pink morsel,$3.00,559,2018-05-11,south
2634,pink morsel,$3.00,528,2018-05-11,east
2635,pink morsel,$3.00,539,2018-05-11,west
2660,pink morsel,$3.00,581,2018-05-12,north
2661,pink morsel,$3.00,511,2018-05-12,south
2662,pink morsel,$3.00,507,2018-05-12,east
2663,pink morsel,$3.00,526,2018-05-12,west
2688,pink morsel,$3.00,515,2018-05-13,north
2689,pink morsel,$3.00,571,2018-05-13,south
2690,pink morsel,$3.00,555,2018-05-13,east
2691,pink morsel,$3.00,548,2018-05-13,west
2716,pink morsel,$3.00,592,2018-05-14,north
2717,pink morsel,$3.00,520,2018-05-14,south
2718,pink morsel,$3.00,548,2018-05-14,east
2719,pink morsel,$3.00,501,2018-05-14,west
2744,pink morsel,$3.00,600,2018-05-15,north
2745,pink morsel,$3.00,586,2018-05-15,south
2746,pink morsel,$3.00,567,2018-05-15,east
2747,pink morsel,$3.00,557,2018-05-15,west
2772,pink morsel,$3.00,531,2018-05-16,north
2773,pink morsel,$3.00,539,2018-05-16,south
2774,pink morsel,$3.00,542,2018-05-16,east
2775,pink morsel,$3.00,543,2018-05-16,west
2800,pink morsel,$3.00,576,2018-05-17,north
2801,pink morsel,$3.00,502,2018-05-17,south
2802,pink morsel,$3.00,530,2018-05-17,east
2803,pink morsel,$3.00,542,2018-05-17,west
2828,pink morsel,$3.00,594,2018-05-18,north
2829,pink morsel,$3.00,524,2018-05-18,south
2830,pink morsel,$3.00,513,2018-05-18,east
2831,pink morsel,$3.00,503,2018-05-18,west
2856,pink morsel,$3.00,596,2018-05-19,north
2857,pink morsel,$3.00,571,2018-05-19,south
2858,pink morsel,$3.00,542,2018-05-19,east
2859,pink morsel,$3.00,543,2018-05-19,west
2884,pink morsel,$3.00,516,2018-05-20,north
2885,pink morsel,$3.00,572,2018-05-20,south
2886,pink morsel,$3.00,584,2018-05-20,east
2887,pink morsel,$3.00,546,2018-05-20,west
2912,pink morsel,$3.00,525,2018-05-21,north
2913,pink morsel,$3.00,557,2018-05-21,south
2914,pink morsel,$3.00,542,2018-05-21,east
2915,pink morsel,$3.00,524,2018-05-21,west
2940,pink morsel,$3.00,524,2018-05-22,north
2941,pink morsel,$3.00,523,2018-05-22,south
2942,pink morsel,$3.00,527,2018-05-22,east
2943,pink morsel,$3.00,507,2018-05-22,west
2968,pink morsel,$3.00,547,2018-05-23,north
2969,pink morsel,$3.00,564,2018-05-23,south
2970,pink morsel,$3.00,571,2018-05-23,east
2971,pink morsel,$3.00,521,2018-05-23,west
2996,pink morsel,$3.00,508,2018-05-24,north
2997,pink morsel,$3.00,511,2018-05-24,south
2998,pink morsel,$3.00,565,2018-05-24,east
2999,pink morsel,$3.00,511,2018-05-24,west
3024,pink morsel,$3.00,533,2018-05-25,north
3025,pink morsel,$3.00,555,2018-05-25,south
3026,pink morsel,$3.00,571,2018-05-25,east
3027,pink morsel,$3.00,548,2018-05-25,west
3052,pink morsel,$3.00,592,2018-05-26,north
3053,pink morsel,$3.00,510,2018-05-26,south
3054,pink morsel,$3.00,550,2018-05-26,east
3055,pink morsel,$3.00,504,2018-05-26,west
3080,pink morsel,$3.00,543,2018-05-27,north
3081,pink morsel,$3.00,569,2018-05-27,south
3082,pink morsel,$3.00,507,2018-05-27,east
3083,pink morsel,$3.00,587,2018-05-27,west
3108,pink morsel,$3.00,585,2018-05-28,north
3109,pink morsel,$3.00,553,2018-05-28,south
3110,pink morsel,$3.00,600,2018-05-28,east
3111,pink morsel,$3.00,513,2018-05-28,west
3136,pink morsel,$3.00,571,2018-05-29,north
3137,pink morsel,$3.00,584,2018-05-29,south
3138,pink morsel,$3.00,543,2018-05-29,east
3139,pink morsel,$3.00,545,2018-05-29,west
3164,pink morsel,$3.00,558,2018-05-30,north
3165,pink morsel,$3.00,567,2018-05-30,south
3166,pink morsel,$3.00,538,2018-05-30,east
3167,pink morsel,$3.00,598,2018-05-30,west
3192,pink morsel,$3.00,575,2018-05-31,north
3193,pink morsel,$3.00,553,2018-05-31,south
3194,pink morsel,$3.00,512,2018-05-31,east
3195,pink morsel,$3.00,540,2018-05-31,west
3220,pink morsel,$3.00,598,2018-06-01,north
3221,pink morsel,$3.00,541,2018-06-01,south
3222,pink morsel,$3.00,555,2018-06-01,east
3223,pink morsel,$3.00,557,2018-06-01,west
3248,pink morsel,$3.00,584,2018-06-02,north
3249,pink morsel,$3.00,569,2018-06-02,south
3250,pink morsel,$3.00,599,2018-06-02,east
3251,pink morsel,$3.00,556,2018-06-02,west
3276,pink morsel,$3.00,532,2018-06-03,north
3277,pink morsel,$3.00,501,2018-06-03,south
3278,pink morsel,$3.00,526,2018-06-03,east
3279,pink morsel,$3.00,560,2018-06-03,west
3304,pink morsel,$3.00,536,2018-06-04,north
3305,pink morsel,$3.00,561,2018-06-04,south
3306,pink morsel,$3.00,524,2018-06-04,east
3307,pink morsel,$3.00,552,2018-06-04,west
3332,pink morsel,$3.00,571,2018-06-05,north
3333,pink morsel,$3.00,566,2018-06-05,south
3334,pink morsel,$3.00,519,2018-06-05,east
3335,pink morsel,$3.00,594,2018-06-05,west
3360,pink morsel,$3.00,565,2018-06-06,north
3361,pink morsel,$3.00,560,2018-06-06,south
3362,pink morsel,$3.00,587,2018-06-06,east
3363,pink morsel,$3.00,553,2018-06-06,west
3388,pink morsel,$3.00,506,2018-06-07,north
3389,pink morsel,$3.00,524,2018-06-07,south
3390,pink morsel,$3.00,595,2018-06-07,east
3391,pink morsel,$3.00,519,2018-06-07,west
3416,pink morsel,$3.00,573,2018-06-08,north
3417,pink morsel,$3.00,559,2018-06-08,south
3418,pink morsel,$3.00,565,2018-06-08,east
3419,pink morsel,$3.00,534,2018-06-08,west
3444,pink morsel,$3.00,594,2018-06-09,north
3445,pink morsel,$3.00,591,2018-06-09,south
3446,pink morsel,$3.00,552,2018-06-09,east
3447,pink morsel,$3.00,555,2018-06-09,west
3472,pink morsel,$3.00,526,2018-06-10,north
3473,pink morsel,$3.00,547,2018-06-10,south
3474,pink morsel,$3.00,579,2018-06-10,east
3475,pink morsel,$3.00,519,2018-06-10,west
3500,pink morsel,$3.00,596,2018-06-11,north
3501,pink morsel,$3.00,559,2018-06-11,south
3502,pink morsel,$3.00,566,2018-06-11,east
3503,pink morsel,$3.00,576,2018-06-11,west
3528,pink morsel,$3.00,592,2018-06-12,north
3529,pink morsel,$3.00,517,2018-06-12,south
3530,pink morsel,$3.00,516,2018-06-12,east
3531,pink morsel,$3.00,514,2018-06-12,west
3556,pink morsel,$3.00,561,2018-06-13,north
3557,pink morsel,$3.00,561,2018-06-13,south
3558,pink morsel,$3.00,524,2018-06-13,east
3559,pink morsel,$3.00,561,2018-06-13,west
3584,pink morsel,$3.00,587,2018-06-14,north
3585,pink morsel,$3.00,556,2018-06-14,south
3586,pink morsel,$3.00,533,2018-06-14,east
3587,pink morsel,$3.00,531,2018-06-14,west
3612,pink morsel,$3.00,541,2018-06-15,north
3613,pink morsel,$3.00,579,2018-06-15,south
3614,pink morsel,$3.00,531,2018-06-15,east
3615,pink morsel,$3.00,596,2018-06-15,west
3640,pink morsel,$3.00,553,2018-06-16,north
3641,pink morsel,$3.00,547,2018-06-16,south
3642,pink morsel,$3.00,525,2018-06-16,east
3643,pink morsel,$3.00,537,2018-06-16,west
3668,pink morsel,$3.00,533,2018-06-17,north
3669,pink morsel,$3.00,510,2018-06-17,south
3670,pink morsel,$3.00,536,2018-06-17,east
3671,pink morsel,$3.00,542,2018-06-17,west
3696,pink morsel,$3.00,510,2018-06-18,north
3697,pink morsel,$3.00,569,2018-06-18,south
3698,pink morsel,$3.00,537,2018-06-18,east
3699,pink morsel,$3.00,545,2018-06-18,west
3724,pink morsel,$3.00,531,2018-06-19,north
3725,pink morsel,$3.00,583,2018-06-19,south
3726,pink morsel,$3.00,541,2018-06-19,east
3727,pink morsel,$3.00,536,2018-06-19,west
3752,pink morsel,$3.00,555,2018-06-20,north
3753,pink morsel,$3.00,553,2018-06-20,south
3754,pink morsel,$3.00,578,2018-06-20,east
3755,pink morsel,$3.00,519,2018-06-20,west
3780,pink morsel,$3.00,599,2018-06-21,north
3781,pink morsel,$3.00,529,2018-06-21,south
3782,pink morsel,$3.00,519,2018-06-21,east
3783,pink morsel,$3.00,514,2018-06-21,west
3808,pink morsel,$3.00,581,2018-06-22,north
3809,pink morsel,$3.00,599,2018-06-22,south
3810,pink morsel,$3.00,562,2018-06-22,east
3811,pink morsel,$3.00,561,2018-06-22,west
3836,pink morsel,$3.00,597,2018-06-23,north
3837,pink morsel,$3.00,518,2018-06-23,south
3838,pink morsel,$3.00,565,2018-06-23,east
3839,pink morsel,$3.00,522,2018-06-23,west
3864,pink morsel,$3.00,521,2018-06-24,north
3865,pink morsel,$3.00,541,2018-06-24,south
3866,pink morsel,$3.00,510,2018-06-24,east
3867,pink morsel,$3.00,554,2018-06-24,west
3892,pink morsel,$3.00,550,2018-06-25,north
3893,pink morsel,$3.00,534,2018-06-25,south
3894,pink morsel,$3.00,516,2018-06-25,east
3895,pink morsel,$3.00,541,2018-06-25,west
3920,pink morsel,$3.00,576,2018-06-26,north
3921,pink morsel,$3.00,511,2018-06-26,south
3922,pink morsel,$3.00,501,2018-06-26,east
3923,pink morsel,$3.00,543,2018-06-26,west
